"subtype","dataset","disease_group","UMAP_1","UMAP_2","trimester"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",9.6166792012078,1.106635961618,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",0.447591672025369,2.22780755528408,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-1.63805889121468,-1.2598054074387,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-2.45202135077889,-0.293486651096763,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-1.25543283454354,-0.654685106192054,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-2.04146539203103,1.14926126965481,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",0.234376201711343,-2.16211124888462,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.0236601137297889,-2.004332747374,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.156886582888915,-5.74356218806309,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",0.00972531207625665,1.86312106617886,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.55881387523587,-2.27366348734898,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-0.494248514689757,-0.493258263979377,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-0.176186790384605,1.83633974560696,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",0.356455812535928,-2.3058247231583,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",0.557705531202004,-0.431267645273628,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-1.61311840049203,7.1567783690353,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.469895859875037,-1.40121110907597,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-2.87200616828377,-0.438377048883857,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",0.025646517358468,-5.76769014826817,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.582286735691383,-2.25575777522129,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-0.176238214291885,2.6344395018478,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",0.104625800929711,-1.4647797011475,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-2.6285760306495,6.17691710957485,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-2.31049190989907,-0.807975377951088,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-2.6361226939338,-0.466537859354438,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-2.46323822966988,0.0299288667102435,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-2.67447828284676,2.35755685337978,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-3.47403763762887,6.22145417698818,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-0.289401163973167,2.76342514523464,"Late"
