"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"TSNAX",3.1422785317555e-37,-1.79009485503748,0.066,0.16,6.26570339232046e-33,"TSNAX"
"WDPCP",1.34232074825071e-51,-1.78978298618126,0.055,0.166,2.67658757201191e-47,"WDPCP"
"DISC1",7.15438426348791e-63,-1.77535671409616,0.143,0.29,1.42658422213949e-58,"DISC1"
"STXBP5",2.35331330648899e-35,-1.76806542592531,0.044,0.126,4.69250673313904e-31,"STXBP5"
"SGK3",1.99719448674915e-65,-1.76668846755269,0.089,0.232,3.98240580657781e-61,"SGK3"
"IMMP2L",3.76844949468276e-42,-1.76495859453742,0.063,0.162,7.51428829239743e-38,"IMMP2L"
"LRMDA",3.21119683200368e-58,-1.74638760881991,0.229,0.367,6.40312648301534e-54,"LRMDA"
"RPL22",1.57729600347193e-107,-1.73145456528951,0.266,0.473,3.14512823092303e-103,"RPL22"
"NUBPL",7.76134777111528e-39,-1.72786010338157,0.038,0.121,1.54761274556039e-34,"NUBPL"
"KIAA1328",7.70100251274044e-40,-1.72370994358248,0.041,0.127,1.53557990104044e-35,"KIAA1328"
"MIR222HG",3.66898242777006e-34,1.72287540998871,0.143,0.055,7.31595096097349e-30,"MIR222HG"
"RNF150",6.80922136475211e-56,-1.71429856746555,0.098,0.229,1.35775874013157e-51,"RNF150"
"TMEM117",2.47217790888746e-54,-1.7035805457325,0.071,0.192,4.92952275032159e-50,"TMEM117"
"ARHGAP32",4.91464136773663e-45,-1.68746648739035,0.048,0.146,9.79979488726684e-41,"ARHGAP32"
"PTPRK",3.9991893610215e-27,-1.66806854663818,0.053,0.124,7.97438358587688e-23,"PTPRK"
"PDCD6",9.05842256149587e-36,-1.66699318026215,0.043,0.124,1.80624945876228e-31,"PDCD6"
"ADGRE2",1.48711122585209e-42,1.66177009998888,0.147,0.047,2.96529978434907e-38,"ADGRE2"
"PPM1B",6.97896107499463e-37,-1.65730410142871,0.058,0.148,1.39160483835393e-32,"PPM1B"
"ULK4",3.71472711108055e-39,-1.65278987338142,0.038,0.123,7.40716585949461e-35,"ULK4"
"XRRA1",2.40152432424412e-38,-1.65194046952723,0.032,0.111,4.78863950254278e-34,"XRRA1"
"TMBIM4",1.58783431472104e-90,-1.65037482914953,0.193,0.389,3.16614162355375e-86,"TMBIM4"
"GCH1",7.96874376187709e-47,1.64709780899489,0.188,0.07,1.58896750611829e-42,"GCH1"
