"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"HNRNPLL",0.48612056886978,-0.00814890739776319,0.113,0.108,1,"HNRNPLL"
"AMZ2",0.486430507629019,0.0688508726307142,0.109,0.118,1,"AMZ2"
"DNAJC7",0.488246854387158,-0.0151515742635313,0.338,0.338,1,"DNAJC7"
"SSBP4",0.488369442712897,-0.0495125792927353,0.154,0.166,1,"SSBP4"
"SPCS3",0.488886111495537,-0.132879944394518,0.49,0.51,1,"SPCS3"
"SLC35A4",0.490288786399378,-0.015910248312104,0.132,0.142,1,"SLC35A4"
"NIFK",0.491230711448305,-0.0227468632818834,0.156,0.152,1,"NIFK"
"DCAF10",0.492782021000573,0.0871478742745277,0.112,0.121,1,"DCAF10"
"CCDC43",0.493086297809536,-0.255175917053963,0.097,0.103,1,"CCDC43"
"SLC9A9",0.495265062411477,-0.0266671885092931,0.586,0.577,1,"SLC9A9"
"EMC8",0.496048524058766,0.0367556823971473,0.133,0.129,1,"EMC8"
"CYCS",0.497790094713679,-0.0854611121055107,0.355,0.351,1,"CYCS"
"NUDT9",0.497834222139979,0.0248809865855721,0.145,0.156,1,"NUDT9"
"FBXW5",0.498132528369015,-0.0506360758664155,0.247,0.261,1,"FBXW5"
"LASP1",0.499492931363367,-0.129437736292958,0.349,0.367,1,"LASP1"
"CYB5R3",0.499574456747931,-0.106269425713629,0.238,0.234,1,"CYB5R3"
"CASP3",0.499955619417663,-0.229276176921784,0.162,0.17,1,"CASP3"
"DHRSX",0.500117872680909,0.258275351707177,0.141,0.139,1,"DHRSX"
"PANK2",0.500139172316906,0.0461281173185957,0.241,0.24,1,"PANK2"
"DESI1",0.500480515449145,-0.205151495642291,0.124,0.131,1,"DESI1"
"MAP1LC3A",0.501436038115456,-0.0624284863952547,0.139,0.149,1,"MAP1LC3A"
"EPHB3",0.501603696162995,-0.0160258849084316,0.119,0.128,1,"EPHB3"
"TPST2",0.501793086042149,0.00227154257823137,0.34,0.345,1,"TPST2"
"SDCCAG8",0.502501836491329,-0.0676538147077452,0.324,0.338,1,"SDCCAG8"
"CDC42",0.502510410067923,-0.102732418273721,0.692,0.654,1,"CDC42"
"TGFBRAP1",0.502761600578193,0.0161288897121009,0.155,0.153,1,"TGFBRAP1"
"SKI",0.50329625486647,0.182775100562874,0.204,0.206,1,"SKI"
"EIF6",0.503368713874559,-0.208872290360081,0.232,0.245,1,"EIF6"
"RALGAPB",0.503370226294069,0.125617637121619,0.15,0.147,1,"RALGAPB"
"INPP4A",0.504815928871092,0.122573756433813,0.154,0.166,1,"INPP4A"
"SH3PXD2A",0.506029634545706,0.0791718017992216,0.202,0.201,1,"SH3PXD2A"
"COASY",0.507080304320474,0.0151968180887796,0.119,0.115,1,"COASY"
"CLIP1",0.507084247171145,-0.0784136403646062,0.294,0.314,1,"CLIP1"
"RAB3GAP1",0.50715644141138,0.118544849303116,0.229,0.228,1,"RAB3GAP1"
"RNF14",0.507493511768438,-0.00456322310179658,0.145,0.155,1,"RNF14"
"SENP5",0.509275459915197,0.136500603555452,0.144,0.155,1,"SENP5"
