"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPL18",6.13245801532009e-127,0.957984490583534,0.939,0.987,1.13401413619299e-122
"RPS15",7.90906411494022e-127,0.847557053841728,0.942,0.996,1.46254413613475e-122
"FN1",1.18724934777251e-126,2.63079794471065,0.89,0.446,2.19546149390093e-122
"RPL12",1.8834950941826e-123,0.92292606384057,0.942,0.992,3.48295912816247e-119
"RPL39",3.01948736460369e-123,1.0373835664792,0.939,0.96,5.58363603462514e-119
"RPS27",6.42957421876667e-122,0.914139019252759,0.939,0.995,1.18895686453433e-117
"RPS29",4.85070980617456e-121,0.921071353780617,0.923,0.989,8.969932573578e-117
"TRAPPC5",6.23949305237844e-120,2.36576546809971,0.652,0.223,1.15380705524582e-115
"RPL14",5.60416396338159e-118,0.886761813266976,0.937,0.983,1.03632200010852e-113
"GNG10",8.7510605563601e-118,2.75094033925501,0.591,0.188,1.61824611808211e-113
