"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"RMDN3",0.0236776553535143,-0.278825211958732,0.096,0.112,1,"RMDN3"
"HERPUD1",0.023682601308545,0.0514321092073609,0.592,0.556,1,"HERPUD1"
"C2",0.023754449610624,0.150222587101242,0.621,0.587,1,"C2"
"CCDC112",0.02379220429548,0.0135271198579717,0.212,0.19,1,"CCDC112"
"HMG20A",0.0238593712589142,0.120792215699091,0.177,0.157,1,"HMG20A"
"FRAT2",0.023874817259151,0.184521727681553,0.139,0.122,1,"FRAT2"
"ZPR1",0.0239048741325691,-0.335851177768607,0.087,0.101,1,"ZPR1"
"CPT1A",0.0239703133714569,0.150064825269243,0.175,0.157,1,"CPT1A"
"GIT1",0.0240097456311259,0.378098394748208,0.105,0.09,1,"GIT1"
"YY1AP1",0.024100158629796,0.158021539297342,0.183,0.163,1,"YY1AP1"
"DNASE2",0.0242029264711484,-0.207152890914407,0.288,0.306,1,"DNASE2"
"ARPC1A",0.0242070222221671,0.156279602863442,0.225,0.204,1,"ARPC1A"
"MADD",0.0242289915933221,-0.0438253357180349,0.168,0.148,1,"MADD"
"ACP5",0.0242355063842149,0.044697629252382,0.249,0.223,1,"ACP5"
"TRAF3",0.0242807041627424,0.0416066490336623,0.156,0.137,1,"TRAF3"
"RAB8B",0.0243401690926368,0.0415550888792426,0.428,0.395,1,"RAB8B"
"APEX1",0.0245715636522551,-0.152264797165662,0.268,0.288,1,"APEX1"
"MYOF",0.0245760086253579,-0.254653258918768,0.198,0.216,1,"MYOF"
"DYNLT1",0.0245809202415673,-0.0970980227143331,0.298,0.319,1,"DYNLT1"
"TMEM106B",0.0247215266548061,-0.15496735538402,0.244,0.263,1,"TMEM106B"
"BMPR2",0.0249394870749499,0.130158173615948,0.317,0.293,1,"BMPR2"
"BTBD2",0.0249803288277327,0.175475705712676,0.131,0.114,1,"BTBD2"
"MAF1",0.0250508675939777,0.120291880383887,0.298,0.274,1,"MAF1"
"SLC31A2",0.0250881888724651,-0.21706661014594,0.175,0.193,1,"SLC31A2"
"ERC2",0.0251245631154166,0.0599971002016322,0.109,0.093,1,"ERC2"
"CDKN2C",0.0252537951505023,0.1242483158906,0.13,0.113,1,"CDKN2C"
"ERVK3-1",0.0253554466627824,-0.012432603121546,0.152,0.133,1,"ERVK3-1"
"CSGALNACT2",0.0255169736072899,0.104112525582701,0.155,0.137,1,"CSGALNACT2"
"KIF1C",0.0255226775942422,-0.168918218511727,0.117,0.133,1,"KIF1C"
"LMAN1",0.0255245926480297,-0.135322337207591,0.374,0.389,1,"LMAN1"
"CUL2",0.0257794416811843,-0.208907182296399,0.182,0.2,1,"CUL2"
"LINC01094",0.0258403910346529,0.228986505675685,0.235,0.214,1,"LINC01094"
