"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NDUFS8",0.00586017527207301,-0.121198323330892,0.338,0.313,1
"MPC1",0.00587883064930991,-0.355214899656128,0.23,0.251,1
"CUX1",0.00588508346682497,0.172671799013117,0.278,0.26,1
"SCNM1",0.00589366328686026,-0.201322966468167,0.183,0.161,1
"TAF11",0.0058957895804011,-0.181577381399943,0.114,0.133,1
"C2CD5",0.00590547703926553,0.332959636075365,0.205,0.192,1
"TRAK1",0.00591673868091537,0.487865840187591,0.225,0.212,1
"HMGA1",0.00592502776218145,0.0790779483853992,0.239,0.221,1
"ARRDC4",0.00594043979213351,-0.211226545118192,0.185,0.208,1
"M6PR",0.00598843775868807,-0.0354492668845432,0.524,0.526,1
"UBE2M",0.0060240929131823,-0.407191610886304,0.222,0.241,1
"CXXC1",0.00603431208973245,0.375572766704766,0.106,0.092,1
"PARP1",0.00605557485908947,-0.0194091257399021,0.433,0.42,1
"BTBD6",0.00608018519738081,-0.453257057235197,0.088,0.104,1
"MAD2L2",0.00611542273554511,-0.0564587149832072,0.109,0.093,1
"XPOT",0.00614238754880457,0.265026812785772,0.109,0.094,1
"FZD5",0.00617482979805319,-0.134289069194775,0.118,0.137,1
"ARAP2",0.00619767613569929,-0.0622006922764926,0.275,0.304,1
"IL16",0.00625356215769716,0.166917090203803,0.159,0.142,1
"ALDH3A2",0.00625719291556256,0.0248735381678962,0.111,0.095,1
"HNRNPLL",0.00634030084041659,0.251420615984981,0.112,0.097,1
"YWHAQ",0.00638069046554541,0.0783113061470265,0.4,0.389,1
"INO80D",0.00638391800033005,0.270726029188431,0.15,0.132,1
"TMEM14C",0.00641425813525658,-0.268018050401558,0.478,0.48,1
"PIK3R4",0.00644305246668037,-0.00448544084273039,0.083,0.1,1
"SLC25A37",0.00646915595681305,0.257852524863321,0.13,0.154,1
"KDM3B",0.00647207965787739,0.18525194331201,0.227,0.21,1
"VASP",0.00656224713368461,-0.205720255318248,0.4,0.433,1
"ENG",0.00664415403347798,0.00326241627635415,0.523,0.529,1
"FAF2",0.00673263785705061,-0.0987488436155715,0.144,0.165,1
"ANKH",0.00673460240558456,0.35474379633798,0.358,0.357,1
"WAPL",0.00680962036318276,-0.141705797415606,0.32,0.348,1
"SAR1A",0.00683896319606171,-0.19245940487985,0.211,0.234,1
"NUP54",0.00684212031858214,-0.232390842353566,0.115,0.132,1
"ATN1",0.00692972930032313,0.246300361325025,0.162,0.146,1
"ENTPD4",0.00694064939705437,-0.111832726116867,0.116,0.135,1
"USP1",0.00695397751816416,-0.327857217679848,0.112,0.129,1
"GALNT2",0.00699711269995115,0.14863912255122,0.137,0.121,1
"STIM1",0.00700823922066014,-0.150423746535964,0.114,0.131,1
"GUSB",0.0070303993674293,0.0273620026810955,0.285,0.265,1
"SEC22B",0.00704547226162235,-0.218878074221613,0.184,0.206,1
"RIPK2",0.00710953421163909,0.38227453681078,0.225,0.213,1
"TRANK1",0.00713780069039393,0.380001805578859,0.133,0.118,1
"MXD1",0.00714538697984904,0.446825461699464,0.26,0.252,1
"FOSL2",0.00715745957443135,0.529220705289816,0.311,0.317,1
"MSRA",0.00721762009619436,-0.0158561716907908,0.137,0.119,1
"POLDIP2",0.00722758484096916,-0.0496501069543035,0.152,0.134,1
"MRPS14",0.00724349398173909,-0.650429967443179,0.095,0.109,1
"ASXL1",0.00728123411811614,0.0137569198869524,0.232,0.259,1
"SNUPN",0.00737923081995287,-0.322811755194764,0.093,0.108,1
"KIF13B",0.0073843147976832,0.183594939137567,0.197,0.179,1
"HNRNPM",0.00741050972085804,-0.18244965993646,0.376,0.41,1
"SRA1",0.00746602697195767,0.135840451573977,0.231,0.213,1
"RPS5",0.00751213057139879,-0.183849322725299,0.724,0.805,1
"BANF1",0.00753017164578066,-0.0968002465713246,0.332,0.307,1
"C3orf38",0.00756656441370848,-0.263114688262229,0.159,0.178,1
"ARSB",0.00756880966781583,-0.0992281355673535,0.165,0.186,1
"C12orf4",0.00757822521862239,-0.288922340126551,0.154,0.172,1
"ABCC5",0.00759955212365056,0.11184206930856,0.329,0.373,1
"LARP4",0.00774974243352717,0.0620092377623259,0.311,0.294,1
"WIPF1",0.00775910851064484,-0.186329960242661,0.486,0.517,1
"BIRC3",0.00776165815705168,0.501949215101566,0.106,0.093,1
"CDC25B",0.00779796189689315,-0.057648286103285,0.094,0.11,1
"SLC25A13",0.00782810169425761,0.068021264734943,0.147,0.168,1
"ZMAT5",0.00783808602380515,-0.12141439285921,0.113,0.096,1
"GDAP2",0.00788243479367259,-0.0898725374222592,0.146,0.167,1
"STOM",0.00789233287591546,-0.0215124055620133,0.524,0.531,1
"TOLLIP",0.00790133216404106,-0.256996228635821,0.197,0.218,1
"TPST2",0.00790432953845196,-0.0997165821944466,0.328,0.359,1
"TCP1",0.0079109774295197,0.0989650559796185,0.469,0.468,1
"DPH3",0.00796776670326534,-0.372009819693946,0.159,0.177,1
"CCDC174",0.00801116114950418,-0.15389301757052,0.127,0.147,1
"TRRAP",0.00808178965406172,0.488951387066137,0.171,0.157,1
"ACP5",0.00810254877294495,0.165796302374149,0.251,0.239,1
"NUP50",0.00811878989856092,-0.256058987236244,0.188,0.209,1
"DPAGT1",0.0081483178108,0.225603067085275,0.1,0.086,1
"TMEM87B",0.00821434747638281,0.211083980622285,0.152,0.136,1
"MAP3K3",0.00821681126070932,0.265713470593238,0.263,0.25,1
"SOD1",0.0082464893917305,-0.224560025179729,0.466,0.495,1
